col1,col2,col3,col4,col5,col6,col7,label
0,1,1,0,1,1,1,negative
1,1,1,0,0,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,0,0,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,0,0,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,1,1,1,1,negative
1,0,1,0,0,1,1,negative
1,1,0,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,0,1,1,1,1,0,negative
1,1,1,0,1,0,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,1,1,1,1,negative
0,0,1,0,1,1,1,negative
1,1,1,0,1,1,0,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
0,1,1,0,1,1,1,negative
1,1,1,0,1,0,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,0,0,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,0,1,1,1,negative
1,1,1,1,1,1,1,negative
1,0,1,0,1,1,1,negative
1,1,1,0,1,1,0,negative
0,1,1,0,1,1,0,negative
1,1,1,0,1,1,0,negative
1,0,1,0,1,1,1,negative
0,0,1,0,1,0,1,negative
1,0,1,1,0,0,0,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,1,1,1,1,1,1,negative
1,0,0,0,1,0,1,negative
1,0,1,0,0,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
0,0,0,1,1,0,1,negative
1,0,1,1,0,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,1,1,negative
0,0,1,0,1,0,1,negative
1,0,1,0,1,0,0,negative
1,0,1,1,1,0,1,negative
1,1,1,1,1,0,1,negative
0,0,0,1,1,0,0,negative
1,0,1,1,0,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
0,0,1,1,1,0,1,negative
1,0,1,1,0,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,1,0,0,1,0,1,negative
1,0,1,1,0,0,1,negative
1,0,1,1,1,0,0,negative
1,0,1,1,1,0,1,negative
1,1,0,1,1,0,1,negative
1,0,0,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,1,1,1,1,0,1,negative
1,0,0,1,1,0,1,negative
1,0,1,0,1,0,1,negative
1,0,1,1,1,0,0,negative
1,0,1,1,1,0,1,negative
1,1,1,1,0,0,1,negative
0,0,1,1,1,0,0,negative
1,0,1,1,0,0,1,negative
1,0,1,1,1,0,1,negative
1,0,1,1,1,0,1,negative
1,1,1,1,1,0,1,negative
1,1,1,1,1,0,0,negative
1,1,1,1,1,0,1,negative
1,0,1,1,1,0,0,negative
0,0,1,1,1,0,1,negative
0,0,1,1,1,0,1,negative
0,1,0,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,1,negative
0,1,0,1,0,1,1,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,1,1,0,negative
0,0,1,1,0,1,0,negative
0,1,0,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,0,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,1,negative
0,1,0,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,1,negative
0,1,0,1,0,0,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,0,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,1,1,0,negative
0,0,1,1,0,1,0,negative
0,1,1,0,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,1,1,0,negative
0,1,0,1,0,1,0,negative
0,1,0,1,0,1,1,negative
0,1,1,1,0,1,0,negative
0,1,1,1,1,1,0,negative
1,1,1,1,0,1,0,negative
0,0,1,1,0,0,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,0,negative
0,1,1,1,0,1,1,negative
0,0,0,1,0,1,0,negative
0,1,0,1,0,1,0,negative
0,1,1,1,1,1,0,negative
0,1,1,0,0,1,0,negative
0,1,1,1,0,1,0,negative
1,1,1,0,0,1,0,negative
0,0,0,1,0,1,1,negative
1,1,0,1,0,1,0,negative
